Ratings,Reviews,Ratings
0,"Cannot figure out how to get ahold of the manufacturer. So I'll write my question and review here. Just got this watch yesterday. It will not recognize that I have downloaded the app. It will only sync with my phone half the time. And it will not update like it needs to, no matter if I'm on wifi or using cellular data.. I'm at a loss because I've tried to delete and re download the app, that didn't work. I forgot the watch on the Bluetooth settings and that didn't work.... Not sure what to do besides ask for a refund and purchase a different one!Update: the Fitbit finally updated once I put it right next to my router. and now it is constantly trying to resync itself, so I'm not getting my notifications sent to it from my phone..",1
0,"Been wearing a Sony Smartwatch 3 for a few years which has a larger screen and runs Wear OS.BUT, battery needs constant recharging, won't even last a full day so I started an extensive search for a new watch.With 53 Alexa devices currently in my home and office, Versa 2 caught my eye.After a full week of testing and use with the Versa 2 and tinkering with FitBit app on my Huawei P30 Pro, I discovered the following PROS and CONS:PROS*Bright screen and vivid colors*Endless choices for watch faces, some with very cute animations*Alexa feature successfully controlled my devices via voice commands to the Versa 2*Excellent battery lifeCONS*Using Fitbit pays forces you to have a lockscreen and that screen malfunctioned so many times, I repeatedly got locked out of the smartwatch and was only able unlock the watch using the app on my phone.*Pulse feature NEVER accurately measured my pulse*The Fitbit Android app is a major drain on smartphone batteries.*Getting to some of the settings is not as easy with FitBit OS and it is with Wear OS* You can only link ONE of your texting apps to the Versa 2*Charger design prevents using a protective cover on the watch that would guard all the sides. Thus, cover must be removed every time you want to charge the watch.",2
1,"When I first ordered my watch I wore it for a day and tried to charge it at the end of the day when I realized it wasn't charging past a certain %. I was instructed by Amazon to return it and theyd send another which arrived the next day. That was a month ago. I did, like many, get a rash with the silicone band. Easy fix, I bought a cheap nylon breathable one on Amazon and no more rashes and have washed the band and it dries super fast. Other than those above mentioned I love this watch! I feel the calories burned when I enter workout mode are very accurate! Also what some fail to understand is the calorie counter on the watch takes into account your resting basal metabolic rate as well as what you burn in exercise. So some may say I havent hardly done anything today and it says I burned 300 cals and I've been awake 2 hours but its calculating BMR too which is how many cals you burn doing nothing, just basic energy needed for the body to function. Mine is around 1600. You can calculate this number on your own with a formula but Fitbit does this for you with it's algorithms. I felt the sleep tracker is also pretty accurate. Amazon Alexa isn't too helpful, and you have to be near your phone to even use it so why not just use your phone. The weather app is convenient though. I don't use any of the apps other than it to be honest. I have yet to use any of the music ones because they require a premium membership (dumb and also why I'm not giving 5 stars). The battery life on it is great and it charges fast and I found reading texts and responding with the voice to text was very accurate (only available on android phones I believe).For someone trying to lose weight or just live a healthy, balanced lifestyle I find this watch helpful and helps motivate you. I liked the fitbit app as well. I may buy another for my husband if the price goes down! I attached a screenshot of the sleep and exercise from the app so you can see what this looks like. Click 'helpful' if you thought this was :)",4
1,"UPDATE (LOVE IT!):After a rocky first 24 hours with the Versa 2, things turned around. I love it! It has been working correctly since a day after the initial set-up. Don't know what caused all the issues or what fixed them. I did not change anything I set-up in the fitbit app or my android mobile device settings. Perhaps the problems were due to everyone trying to download/update their Fitbit apps and new Versa 2 after the release. So far any apps that allow push notification to my phone will also push to the Versa 2 if I enable them. I used the older fitbit connect app to transfer music from my Windows laptop to the Versa 2 -- no issues, lots of storage on the device for my music. I connected cheap Bluetooth earbuds with no problem as well. I can see my appointment from Outlook in the calendar app. It is awesome. On occasion, if I walk too far away from my phone, the Bluetooth disconnects, and I have to switch my Bluetooth on/off on my phone to reconnect, but that is mostly because I am too impatient to give it time to reconnect on its own. Alexa is fantastic - can use it just like echo and it works with all my other Alexa stuff. I should knock off one star for the complex set-up which does involve workarounds (for example, having to use the old fitbit connect app) and may be too difficult for some; but I love it so that I am giving it five stars.ORIGINAL REVIEW (The best when it works.):I upgraded my Charge 2 with the Versa 2. My Charge 2 worked perfectly - no syncing issues always stayed connected, and all my push notifications worked. I figured I would be safe from all these issues others have been reporting with their Fitbit devices of late. It took a few aggravating hours to get it to sync, update, and stay connected. I had to search the internet and apply all these ""fixes"" to make it work. They are not really ""fixes"" but rather workarounds, but I was ok with that as long as they worked. After much frustration, I finally got the Versa 2 working....for a few hours. And I must say that those few hours were utter bliss. The Versa 2 was AWESOME until it wasn't. Then the syncing and connections problems returned. I will give it a week or two to be consistent; otherwise, I will be returning it. Perhaps Fitbit is furiously working behind the scenes to fix these new issues and send out a real fix. I can only hope. I will post a revised review if the issues are fixed.",5
0,"Purchased the Fitbit Versa 2 because of all the hype and advertisements that I've received from Fitbit. Waited in anticipation and finally received it today. Upon setting it up, received a message that I could no longer use by Fitbit Ionic... Nowhere in any of the ads or on this page was it posted that you had to stop using your other Fitbit. Quite disappointed. It is already on the UPS truck back to Amazon. I didn't pay $200 to stop using my other $250 smartwatch.",1
1,"Very happy with this smart watch/fitness tracker. If you are looking for a fitness tracker that has incredible battery life, a fantastic app, and sleep tracking there is no better product on the market. I think it is nice that it also includes some of the essential smart watch features like messages on your wrist and connectivity to control Spotify. The Alexa integration is also a nice bonus feature. However, if you are more interested in a smart watch features and care less about fitness tracking then maybe the Apple Watch is a better choice for you. I actually have an Apple Watch and prefer to wear the Fitbit because I think Fitbit really nailed the features that are important to me - fitness, battery life, sleep tracking, messages on wrist. Everything else I can handle on my phone but it is nice that the features I care about are done so well on this watch. Also, it is really comfortable to wear. I never take it off. One other feature that I think is important is the always on heart rate monitor. The Apple Watch only measures your heart rate every 10 min when you are not in a workout. I like having the always on tracking during the day so I can quick glance at what my heart rate is doing. As far as I know, you can not do this with the Apple Watch; you would need to open up the heart rate app on the watch to get a read. Just another reason why I think this Fitbit is better for my lifestyle. It does the stuff I care about well rather than doing everything mediocre like the Apple Watch. Just my opinion...",5
1,"This is awesome. I love the accuracy of the sleep tracker, step counter, and heart rate monitor! As a former Charge 2 user, this thing is loaded with extra ""bells and whistles"", like Alexa built-in (SUPER CONVENIENT), ability to control Spotify/Pandora, cuts out the ""middle man"" i.e, your phone, when it comes to tracking water in-take, female calendar, as you can log all this info right from your wrist.Set your location in the app and get weather updates in just a swipe, upload your own personal music, pick from HUNDREDS of customized clock faces (even a Bitmoji one if you're a Snapchatter).Reply to calls and texts right from the device. Use/customize your own 5 responses with or without emojis, or, speak directly into your Versa 2 and watch your speech-to-text appear before your eyes on the screen, with the ability to edit before you send.All in all, for having this for only 2 days, I'm excited to put it to the test as far as exercising, personal tracking, and seeing how far battery life goes after 5+ days.If you're on the fence, just climb on over and buy this device! Fun, easy to use, and tons of replaceable bands to choose from to customize your everyday look!",5
0,"Update 9/30: It's going back today. The Alexa will not stay synced at all. I don't feel like I have a true Amazon Alexa device if you cannot stay connected OR even use your Amazon app or music on the watch. So back it goes. Besides, the watch will not stay connected to my phone at all. I will stick with my Apple Watch now.First off...there are are only two reasons for the three stars. The first reason is because being an Amazon Alexa based system added, it should allow that to do more with Alexa. It should allow Amazon Music app to be loaded onto the watch. It should allow Alexa to control calling and texting. I was disappointed that the Alexa on this is so limited. The second reason for the lower stars is because yes, it says a bigger screen size and it is flatter BUT that is deceiving. The screen is wider at first glance but there is a small square that scores the actual data. So that's why I decreased it by two stars.But all that being said....I still gave up an Apple Watch series 4 to have this FitBit back. I love that the health of the FB is more superior than the AW. I have always said that if the two got together and had a ""baby"" then they would have an awesome product worth twice what they both charge.I'm happy with mine and I will be keeping it.",1
1,"So I received this Fitbit on 02/29/20 and waited to write this review to see how it works for me. And here's what I've experienced..STEPS: the first 3 or 4 days the steps were off, like it counted more steps than what I actually walked. it was ridiculous. But then it seemed to get a lil more accurate as the days went on. I also tightened the band a lil bit so that it would be more secure. And I feel like now it DOES count more accurately. Now it does count steps if you just hit it or swing your arm, but if you don't do that too much while you're sitting or caring things, then it doesn't ""double"" count your steps. I'm happy now with that.SLEEP: It doesn't seem to track my sleep too well. Like it's not completely off, but its still not on point like I would like it.BATTERY: the battery life is pretty good. I can go about 3-5 days without having to charge it. I personally don't like having a low charge (like 34%) so I tend to charge it sooner than I probably need too. So it can probably go about a week without a charge.NOTIFICATIONS: my messages come thru immediately. I always get my messages as soon as they pop up on my phone. And in the app you can change what you want to come thru on the watch, like I kept my txt messages on to come thru, but not my phone calls, and I can change what I want to come thru at anytime.APP: the app is good. it's not super great, but it does what you need it to do for your watch. there is a premium option, and it does ask you to join, but you can say no and just use the app like normal. the premium just has more stuff to take advantage of, but I don't really care to use it (or pay for it). You can add or remove apps from your watch thru the app. you can even download new ones to have on it too. there are free ones, and ones you have to pay.CLOCK FACES: the watch faces are cute. there are LOTS of options. but I found out that there are a selected ones that are free and the rest you have to pay for. its just like the phone themes on androids. you have free ones and then ones to that you have to pay for. But they're all cute. I found a free one that I can put my own picture on to make it personalized. I like that a lot.I personally think that some of the reviews are from folks that have HIGH expectations of the watch, cuz I mean its not the Apple watch, so it is limited, but it does what a simple person needs it to do. For others, I think that maybe they just received faulty ones or they misuse it thinking its the watch.I'll try to remember to come back in about a month or so and review how it's going. But so far, it's going good and I don't have many complaints.Hope this helps !",5
0,"Do not buy the Versa 2! This device is unreliable, many user community reports confirm this and Fitbit will not back up their product warranty to refund your money when it doesn’t work.Details:I bought this Fitbit Versa 2 instead of the iWatch mainly because it’s supposed to track sleep and that feature isn’t available on iWatch yet and also because Versa 2 is less expensive, but paying less doesn’t matter if it doesn’t work. Did it work? Sort of - but only for a while. It sort of tracked sleep sometimes for a few weeks, but not always. Some nights it didn’t track at all and if you wake up for more than 20 minutes or so and then get back to sleep it stops tracking your sleep altogether. Sleep analytics without the premium features were interesting when they worked because theres some nice graphs showing how much time is spent in the different sleep phases. However, when I upgraded to the premium sleep features that you have to pay for the interesting data charts disappeared and the sleep features were actually worse. I also noticed that the Versa 2 double or triple counted my steps and I was getting to 10,000 steps on days I spent mostly at a desk. I checked the internet for Versa 2 user reports and found out that many users have the problem where the Versa 2 either over reports or under reports steps - which is the main feature of this watch. Then, the Versa 2 stopped tracking sleep all together - nothing. A few days later it also completely stopped synchronizing with the iphone app. I spent a couple of hours going through all the online community information to determine what to do.Many people in the Versa 2 user community had similar problems where their Versa 2 stopped working, stopped tracking sleep and/or stopped synching with the app. There are so many user reported problems that there are several professional product review sites that give a multi-step, multi-layer process for “fixing your Fitbit Versa when it stops working”. I tried the Versa 2 restart steps that the professional sites recommend trying first and that did nothing. Then I did what the professional sites say to do next if restart didn’t work - full Versa 2 factory reset. The Versa 2 data and app purchases are not backed up on the Fitbit cloud so the restart caused the Versa 2 to lose all data on the device and lose the app purchases I had made.I would be forced to go through the hassle and expense of repurchasing and reconfiguring the apps, and then when the Versa freezes up again I would have to go through the process again.At this point I decided to return the product for a refund because I don’t have time to deal with unreliable electronics that don’t work, lose my data, lose my purchases and take hours to simply keep running. I tried returning on Amazon but the Amazon site sent me to the Fitbit customer service website because I was outside the 30 day Amazon return window. When I called Fitbit they gave me a big, long runaround and wanted me to spend more time fussing with them to troubleshoot their Versa 2 device. They were able to observer their cloud logs for the device and they could see that it stopped working properly and that I had to resynchronize it, but that wasn’t enough and they wanted me to spend time over the phone troubleshooting why the device wasn’t working. I said they have clear evidence in their own logs the device doesn’t work properly, there are a ton of user problems reported on the internet, and I simply want to return it under their 1 year return policy.Fitbit refused to honor their warranty and give me a return slip. I asked to escalate and they said the would put me in the return escalation queue for an email response to my request, and apparently there are many people in front of me in that queue because they said it would be tomorrow or next week before they would send me an email, and it was unlikely the email would allow me to return.So now I’m stuck with a pretty expensive piece of electronic junk. I’m done with Fitbit and the Versa 2. I plan to wait until iWatch has sleep mode because iWatch is reliable and it does everything else the Versa 2 does plus more. If you want an exercise watch that is less than the iWatch, go with one of the others but not the Versa 2.",1
1,"I've been a fitbit user for 5 years. Got the new Versa 2 to replace a Charge 2. The set up worked, you do need to set up the app on a compatible phone. It took some tweaking to get wifi to work. I'm still working out the bugs and figuring it out. Some things are not intuitive, like the settings short cut buttons. The fitness tracker is very comfortable. The band was easy to replace. It seems very accurate for step and sleep training. I picked this instead of the new Samsung watch active 2 because of cost, but mostly because I like the fitbit app better than Samsung health app. The smartwatch features still need to prove themselves. Im not thrilled with the watch face options, most of them you have to pay for, same for apps. Overall pleased so far, will try to update after wearing it longer.Update: fitbit app drains the battery on my phone to 20% before noon. If I don't have the phone connected to the watch, I can't use the notification features. No texts, emails, weather updates, alexa on my wrist. I still like the tracker, but it's frustrating to pay for features that i can't use.",3
0,"It’s been a week and I am reading all the reviews carefully because I don’t buy gadgets often and am still undecided about this. My friends have the Versa 1 and highly recommended it. I was excited when I heard the 2 was coming out so decided to splurge as an early birthday present. I stop people who wear the Versa and ask them what they think- most everyone has been pleased.So far, I really like it. I haven’t worn a watch in over 10 years so splurging on an apple watch didn’t seem wise. I just couldn’t justify the expense and to be quite honest, don’t want to be that plugged in.I am a teacher and wanted to get text messages discretely while teaching and not have to check my phone- especially to hear from my own children. This feature works perfectly and consistently well.9/10 of the time, the watch displays the time when I glance down at it. Sometimes I need to press that left button to see the time. Would like for that to be more consistent but it usually works.Step count seems accurate- it’s an approximation- precision not needed for me to be informed and pleased with that feature.My biggest criticism is the docking station. The cord emerges from the bottom of the holder- making it impossible to rest on a flat surface. This is a huge design flaw and it’s hard for me to believe this passed testing or initial reviews. When I saw my friends Versa 1 charger, I was shocked they would change something that seemed so good in the first place.For now, I’m keeping it. The looks are impressive, the features work. I don’t need to call an Uber from my wrist. Its serves my needs and I’ll just hope they modify the docking station and offer a corrected product sooner rather than later. It really is a huge design flaw. Hopefully the features of the phone will allow me to forgot about that mistake. Excited to explore all that the app offers- including challenges and tracking.Addendum: updated to iOS 13 and sadly can no longer receive text messages which was the best feature for me. Sadly must process the return.",1
0,"I bought a Versa 2 a month ago. The heart rate monitor is often wrong, along with a few other functions. I've called customer service several times. After rebooting it and all the other unsucessful attempts to resolve, Fitbit just quit responding or gave me stock email responses. I'm trying to return this and go with another brand. Fitbit's customer service is a joke. I would strongly recommend buying a different brand.",1
1,"I absolutely Love this Watch! I had a Samsung Smart Watch, I sent it back . It's a very Nice watch if you want your phn on your wrist I guess and it's not a FitBit . Theres Nothing Like a Fitbit Versa 2 Love that I can Use Alexa !",5
